Internal ID,Item Name,Item Code
91356,Box Auto Quality 70G A3 (500) (KH),2BTD-QA-070-A03-500-002
38479,Box Auto Quality 70G A4 (500),2BTD-QA-070-A04-500-001
85989,Box Auto Quality 70G A4 (500) (VN),2BTD-QA-070-A04-500-002
82213,Box Auto Quality 70G A4 (500) (KH),2BTD-QA-070-A04-500-003
81658,Box Auto Quality 70G A11 (500),2BTD-QA-070-A11-500-002
38480,Box Auto Quality 80G A3 (500),2BTD-QA-080-A03-500-001
38481,Box Auto Quality 80G A4 (500),2BTD-QA-080-A04-500-001
38482,Box Auto Quality Red Yellow 80G A4 (500),2BTD-QH-080-A04-500-001
82206,Box Auto Reflex 80G A3 (500) 3R,2BTD-RF-080-A03-500-001
38483,Box Auto Reflex 80G A4 (500),2BTD-RF-080-A04-500-001
81664,Box Auto Smart Copy 75G A4 (500),2BTD-SC-075-A04-500-001
38485,Box Auto Smart Copy 80G A3 (500),2BTD-SC-080-A03-500-001
105535,Box Auto Smart Copy 80G A3 (500) 3R,2BTD-SC-080-A03-500-002
38486,Box Auto Smart Copy 80G A4 (500),2BTD-SC-080-A04-500-001
38487,Box Auto Smart Copy 80G A4 (500) HTP,2BTD-SC-080-A04-500-002
81659,Box Auto Smart Copy ECO 75G A4 (500),2BTD-SE-075-A04-500-001
38484,Box Auto Simon 75G A11 (500) 10R,2BTD-SM-075-A11-500-001
38489,Box Auto Smartist 70G A3 (500),2BTD-ST-070-A03-500-001
38490,Box Auto Smartist 70G A4 (500),2BTD-ST-070-A04-500-001
82212,Box Auto Smartist 70G A4 (500) (KH),2BTD-ST-070-A04-500-002
85999,Box Auto Smartist 70G A4 (500) (China),2BTD-ST-070-A04-500-004
86001,Box Auto Smartist 70G A4 (500) (VN),2BTD-ST-070-A04-500-005
38488,Box Auto Smartist 70G A11 (500),2BTD-ST-070-A11-500-001
38491,Box Auto Smartist 75G A4 (500),2BTD-ST-075-A04-500-001
38492,Box Auto Top Print 92 75G A11 (500) 10R,2BTD-T2-075-A11-500-001
38493,Box Auto Top Print 97 75G A11 (500) 10R,2BTD-T7-075-A11-500-001
38494,Box Auto W.B. Mason 75G A11 (500) 10R,2BTD-WM-075-A11-500-001
81660,Box Auto Winter 70G A4 (500),2BTD-WT-070-A04-500-001
38495,Box Auto Winter 80G A4 (500),2BTD-WT-080-A04-500-001
85997,Box Auto One K 80G A4 (500) (APC),2BTE-1K-080-A04-500-001
38576,Box Auto Big Paper (APC) 80G A4 (500),2BTE-BU-080-A04-500-001
81656,Box Auto Double A Green 80G A4 (500)(E),2BTE-DG-080-A04-500-001
38451,Box Auto Double A India 70G A4 (500),2BTE-DI-070-A04-500-001
38577,Box Auto Double A (APC) 80G A4 (500),2BTE-DU-080-A04-500-001
38578,Box Auto Double A (APC) 80G A4 (550),2BTE-DU-080-A04-550-001
38579,Box Auto Hi-Plus (APC) 75G A4 (500),2BTE-HU-075-A04-500-001
82205,Box Auto One K APC 80G A4 (500),2BTE-KE-080-A04-500-001
86000,Box Auto OK 80G A4 (500) (AE),2BTE-OK-080-A04-500-001
38580,Box Auto Smart Copy (APC) 80G A4 (500),2BTE-SU-080-A04-500-001
38581,Box Auto Winter (APC) 80G A4 (500),2BTE-WU-080-A04-500-001
38457,Box Auto Double A (Promotion) 80G A4 (500),notues_2BTD-DY-080-A04-500-001
38477,Box Auto Quality 70G A11 (500),notues_2BTD-QA-070-A11-500-001
85979,Box MN Double A FSC 80G A4 (250) 10R,2BND-D1-080-A04-250-001
85982,Box MN Double A 70G A5 (500) 10R,2BND-DA-070-A05-500-001
87553,Box MN Double A 70G F4 (500),2BND-DA-070-F04-500-001
85981,Box MN Double A 75G A11 (500) 1R,2BND-DA-075-A11-500-001
85980,Box MN Double A 80G A4 (500) 1R,2BND-DA-080-A04-500-001
82221,Box MN Double A 80G A5 (500) 10R,2BND-DA-080-A05-500-001
87552,Box MN Double A 80G F4 (500),2BND-DA-080-F04-500-001
82219,Box MN Smartist 70G A5 (500) 10R,2BND-ST-070-A05-500-001
85986,Box MN Smartist 70G F4 (500) 5R,2BND-ST-070-F04-500-001
82218,Box MN Smartist 70G F14 (500),2BND-ST-070-F14-500-001
85983,Box MN No Brand A4 (20),2BOD-NB-019
85984,Box MN No Brand A11 (20),2BOD-NB-020
85985,Box MN No Brand F4 (20),2BOD-NB-021
92252,Box MN Double A FSC 100G A4 (200),2BTD-D1-100-A04-200-001
38589,Box MN No Brand (ลังเบียร์),2BOD-NB-001
38590,Box MN No Brand (Lotus),2BOD-NB-002
38591,Box MN No Brand (40) (สพฐ),2BOD-NB-003
38592,Box MN No Brand Size 0,2BOD-NB-004
38593,Box MN No Brand Size A,2BOD-NB-006
38594,Box MN No Brand Size B,2BOD-NB-007
38595,Box MN No Brand Size D-7,2BOD-NB-008
38596,Box MN No Brand Size S+,2BOD-NB-009
38496,Box MN No Brand 80G A4 (40),2BOD-NB-010
38497,Box MN No Brand 80G A4 (100),2BOD-NB-011
81650,Box MN No Brand Size 2A,2BOD-NB-012
81651,Box MN No Brand Size 2B,2BOD-NB-013
81652,Box MN No Brand Size C+,2BOD-NB-014
81653,Box MN No Brand Size D,2BOD-NB-015
82194,Box MN No Brand Size D1,2BOD-NB-016
81654,Box MN No Brand Size G,2BOD-NB-017
81655,Box MN No Brand Size E+,2BOD-NB-018
93875,Box MN No Brand A1 (14x17x10 cm),2BOD-NB-022
93876,Box MN No Brand B1 (18x24x7 cm),2BOD-NB-023
39825,เปลือกไม้ละเอียด,2BY-BK-001
39826,เปลือกไม้หยาบ,2BY-BK-002
39827,Under Size,2BY-UN-001
91021,Double A Colour 80G A4 (100) N (Rainbow 7) TH,1CL-DA-080-A04-100-R7-001
81798,Double A Colour 75G A4 (25) N (Neon Green) TH,1CL-DA-075-A04-025-NG-001
81799,Double A Colour 75G A4 (25) N (Neon Orange) TH,1CL-DA-075-A04-025-NO-001
81800,Double A Colour 75G A4 (25) N (Neon Pink) TH,1CL-DA-075-A04-025-NP-001
81801,Double A Colour 75G A4 (25) N (Neon Punch) TH,1CL-DA-075-A04-025-NU-001
81802,Double A Colour 75G A4 (25) N (Neon Yellow) TH,1CL-DA-075-A04-025-NY-001
81803,Double A Colour 75G A4 (25) N (Rainbow Neon) TH,1CL-DA-075-A04-025-RN-001
39245,Double A Colour 75G A4 (25) N (Rainbow Neon) TH (5PK/Box),1CL-DA-075-A04-025-RN-005
81804,Double A Colour 75G A4 (100) N (Neon Green) TH,1CL-DA-075-A04-100-NG-001
81805,Double A Colour 75G A4 (100) N (Neon Orange) TH,1CL-DA-075-A04-100-NO-001
81806,Double A Colour 75G A4 (100) N (Neon Pink) TH,1CL-DA-075-A04-100-NP-001
81807,Double A Colour 75G A4 (100) N (Neon Punch) TH,1CL-DA-075-A04-100-NU-001
81808,Double A Colour 75G A4 (100) N (Neon Yellow) TH,1CL-DA-075-A04-100-NY-001
81810,Double A Colour 75G A4 (100) N (Rainbow 4) TH,1CL-DA-075-A04-100-R4-001
81809,Double A Colour 75G A4 (100) N (Rainbow Neon) TH,1CL-DA-075-A04-100-RN-001
81821,Double A Colour 75G A4 (500) N (Neon Green) TH,1CL-DA-075-A04-500-NG-001
81822,Double A Colour 75G A4 (500) N (Neon Orange) TH,1CL-DA-075-A04-500-NO-001
81823,Double A Colour 75G A4 (500) N (Neon Pink) TH,1CL-DA-075-A04-500-NP-001
81824,Double A Colour 75G A4 (500) N (Neon Punch) TH,1CL-DA-075-A04-500-NU-001
81825,Double A Colour 75G A4 (500) N (Neon Yellow) TH,1CL-DA-075-A04-500-NY-001
81826,Double A Colour 75G A4 (500) N (Rainbow 4) TH,1CL-DA-075-A04-500-R4-001
83623,Double A Colour 80G A4 (25) N (Cheese) TH,1CL-DA-080-A04-025-CS-001
81783,Double A Colour 80G A4 (25) N (Deep Blue) TH,1CL-DA-080-A04-025-DE-001
83622,Double A Colour 80G A4 (25) N (Flamingo) TH,1CL-DA-080-A04-025-FL-001
81784,Double A Colour 80G A4 (25) N (Gold) TH,1CL-DA-080-A04-025-GO-001
81785,Double A Colour 80G A4 (25) N (Lemon) TH,1CL-DA-080-A04-025-LE-001
83620,Double A Colour 80G A4 (25) N (Lagoon) TH,1CL-DA-080-A04-025-LG-001
83621,Double A Colour 80G A4 (25) N (Lavender) TH,1CL-DA-080-A04-025-LV-001
83619,Double A Colour 80G A4 (25) N (Ocean) TH,1CL-DA-080-A04-025-OC-001
83618,Double A Colour 80G A4 (25) N (Old Rose) TH,1CL-DA-080-A04-025-OL-001
81786,Double A Colour 80G A4 (25) N (Parrot) TH,1CL-DA-080-A04-025-PR-001
85227,Double A Colour 80G A4 (25) N (Rainbow 7) TH (5PK/Box),1CL-DA-080-A04-025-R7-001
81649,Double A Colour 80G A4 (25) N (Rainbow 7) TH,1CL-DA-080-A04-025-R7-002
81789,Double A Colour 80G A4 (25) N (Rainbow Deep) TH,1CL-DA-080-A04-025-RD-001
81787,Double A Colour 80G A4 (25) N (Red) TH,1CL-DA-080-A04-025-RE-001
81788,Double A Colour 80G A4 (25) N (Saffron) TH,1CL-DA-080-A04-025-SF-001
83628,Double A Colour 80G A4 (100) N (Cheese) TH,1CL-DA-080-A04-100-CS-001
81790,Double A Colour 80G A4 (100) N (Deep Blue) TH,1CL-DA-080-A04-100-DE-001
83627,Double A Colour 80G A4 (100) N (Flamingo) TH,1CL-DA-080-A04-100-FL-001
81791,Double A Colour 80G A4 (100) N (Gold) TH,1CL-DA-080-A04-100-GO-001
81792,Double A Colour 80G A4 (100) N (Lemon) TH,1CL-DA-080-A04-100-LE-001
83625,Double A Colour 80G A4 (100) N (Lagoon) TH,1CL-DA-080-A04-100-LG-001
83626,Double A Colour 80G A4 (100) N (Lavender) TH,1CL-DA-080-A04-100-LV-001
83624,Double A Colour 80G A4 (100) N (Ocean) TH,1CL-DA-080-A04-100-OC-001
81793,Double A Colour 80G A4 (100) N (Parrot) TH,1CL-DA-080-A04-100-PR-001
84356,Double A Colour 80G A4 (100) N (Rainbow 7) TH,1CL-DA-080-A04-100-R3-001
81797,Double A Colour 80G A4 (100) N (Rainbow 5) TH,1CL-DA-080-A04-100-R5-001
81796,Double A Colour 80G A4 (100) N (Rainbow Deep) TH,1CL-DA-080-A04-100-RD-001
81794,Double A Colour 80G A4 (100) N (Red) TH,1CL-DA-080-A04-100-RE-001
81795,Double A Colour 80G A4 (100) N (Saffron) TH,1CL-DA-080-A04-100-SF-001
81817,Double A Colour 80G A4 (500) N (Black) TH,1CL-DA-080-A04-500-BK-001
83630,Double A Colour 80G A4 (500) N (Butter) TH,1CL-DA-080-A04-500-BU-001
82737,Double A Colour 80G A4 (500) N (Cheese) TH,1CL-DA-080-A04-500-CS-001
81818,Double A Colour 80G A4 (500) N (Dark Blue) TH,1CL-DA-080-A04-500-DB-001
81811,Double A Colour 80G A4 (500) N (Deep Blue) TH,1CL-DA-080-A04-500-DE-001
81819,Double A Colour 80G A4 (500) N (Dark Purple) TH,1CL-DA-080-A04-500-DP-001
83629,Double A Colour 80G A4 (500) N (Emerald) TH,1CL-DA-080-A04-500-EM-001
83631,Double A Colour 80G A4 (500) N (Flamingo) TH,1CL-DA-080-A04-500-FL-001
81812,Double A Colour 80G A4 (500) N (Gold) TH,1CL-DA-080-A04-500-GO-001
83632,Double A Colour 80G A4 (500) N (Ivory) TH,1CL-DA-080-A04-500-IV-001
81813,Double A Colour 80G A4 (500) N (Lemon) TH,1CL-DA-080-A04-500-LE-001
82738,Double A Colour 80G A4 (500) N (Lagoon) TH,1CL-DA-080-A04-500-LG-001
82739,Double A Colour 80G A4 (500) N (Lavender) TH,1CL-DA-080-A04-500-LV-001
82740,Double A Colour 80G A4 (500) N (Ocean) TH,1CL-DA-080-A04-500-OC-001
82742,Double A Colour 80G A4 (500) N (Old Rose) TH,1CL-DA-080-A04-500-OL-001
82743,Double A Colour 80G A4 (500) N (Pink) TH,1CL-DA-080-A04-500-PK-001
81814,Double A Colour 80G A4 (500) N (Parrot) TH,1CL-DA-080-A04-500-PR-001
82744,Double A Colour 80G A4 (500) N (Rainbow 3) TH,1CL-DA-080-A04-500-R3-001
81820,Double A Colour 80G A4 (500) N (Rainbow 5) TH,1CL-DA-080-A04-500-R5-001
81815,Double A Colour 80G A4 (500) N (Red) TH,1CL-DA-080-A04-500-RE-001
81816,Double A Colour 80G A4 (500) N (Saffron) TH,1CL-DA-080-A04-500-SF-001
40758,Double A Colour 75G A3 (500) N (Neon Green) EN,1CL-DA-075-A03-500-NG-001
40899,Double A Colour 75G A3 (500) S (Neon Green) EN,1CL-DA-075-A03-500-NG-002
41040,Double A Colour 75G A3 (500) SS (Neon Green) EN,1CL-DA-075-A03-500-NG-003
40759,Double A Colour 75G A3 (500) N (Neon Orange) EN,1CL-DA-075-A03-500-NO-001
40900,Double A Colour 75G A3 (500) S (Neon Orange) EN,1CL-DA-075-A03-500-NO-002
41041,Double A Colour 75G A3 (500) SS (Neon Orange) EN,1CL-DA-075-A03-500-NO-003
40760,Double A Colour 75G A3 (500) N (Neon Pink) EN,1CL-DA-075-A03-500-NP-001
40901,Double A Colour 75G A3 (500) S (Neon Pink) EN,1CL-DA-075-A03-500-NP-002
41042,Double A Colour 75G A3 (500) SS (Neon Pink) EN,1CL-DA-075-A03-500-NP-003
40761,Double A Colour 75G A3 (500) N (Neon Punch) EN,1CL-DA-075-A03-500-NU-001
40902,Double A Colour 75G A3 (500) S (Neon Punch) EN,1CL-DA-075-A03-500-NU-002
41043,Double A Colour 75G A3 (500) SS (Neon Punch) EN,1CL-DA-075-A03-500-NU-003
40762,Double A Colour 75G A3 (500) N (Neon Yellow) EN,1CL-DA-075-A03-500-NY-001
40903,Double A Colour 75G A3 (500) S (Neon Yellow) EN,1CL-DA-075-A03-500-NY-002
41044,Double A Colour 75G A3 (500) SS (Neon Yellow) EN,1CL-DA-075-A03-500-NY-003
40787,Double A Colour 75G A3 (500) N (Rainbow 4) EN,1CL-DA-075-A03-500-R4-001
40928,Double A Colour 75G A3 (500) S (Rainbow 4) EN,1CL-DA-075-A03-500-R4-002
41069,Double A Colour 75G A3 (500) SS (Rainbow 4) EN,1CL-DA-075-A03-500-R4-003
40763,Double A Colour 75G A4 (25) N (Neon Green) EN,1CL-DA-075-A04-025-NG-002
40904,Double A Colour 75G A4 (25) S (Neon Green) EN,1CL-DA-075-A04-025-NG-003
41045,Double A Colour 75G A4 (25) SS (Neon Green) EN,1CL-DA-075-A04-025-NG-004
40764,Double A Colour 75G A4 (25) N (Neon Orange) EN,1CL-DA-075-A04-025-NO-002
40905,Double A Colour 75G A4 (25) S (Neon Orange) EN,1CL-DA-075-A04-025-NO-003
41046,Double A Colour 75G A4 (25) SS (Neon Orange) EN,1CL-DA-075-A04-025-NO-004
40765,Double A Colour 75G A4 (25) N (Neon Pink) EN,1CL-DA-075-A04-025-NP-002
